last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter
Kipping,Katja,Die Linke,Sachsen,Dresden I,159,
Kiziltepe,Cansel,SPD,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,83,https://twitter.com/CanselK
Klare,Arno,SPD,Nordrhein-Westfalen,Mülheim – Essen I,118,
Klein,Karsten,FDP,Bayern,Aschaffenburg,247,
Klein,Volkmar,CDU/CSU,,,,
Klein-Schmeink,Maria,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Münster,129,https://twitter.com/MariaKlSchmeink
Kleinwächter,Norbert,AfD,,,,
Klingbeil,Lars,SPD,Niedersachsen,Rotenburg I – Heidekreis,35,
Klinge,Dr. Marcel,FDP,,,,
Kluckert,Daniela,FDP,,,,
Knoerig,Axel,CDU/CSU,Niedersachsen,Diepholz – Nienburg I,33,
Kober,Pascal,FDP,Baden-Württemberg,Reutlingen,289,https://twitter.com/pascalkober
Köhler,Dr. Lukas,FDP,Bayern,München-West/Mitte,220,
König,Jörn,AfD,Niedersachsen,Stadt Hannover I,41,
Koeppen,Jens,CDU/CSU,Brandenburg,Uckermark – Barnim I,57,https://twitter.com/JensKoeppen
Körber,Carsten,CDU/CSU,Sachsen,Zwickau,165,
Kofler,Dr. Bärbel,SPD,,,,
Kolbe,Daniela,SPD,Sachsen,Leipzig I,152,
Komning,Enrico,AfD,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,16,https://twitter.com/enricokomning?lang=de
Konrad,Carina,FDP,Rheinland-Pfalz,Mosel/Rhein-Hunsrück,200,https://twitter.com/carina_konrad
Koob,Markus,CDU/CSU,Hessen,Hochtaunus,176,
Korkmaz-Emre,Elvan,SPD,Nordrhein-Westfalen,Gütersloh I,131,https://twitter.com/korkmazgt
Korte,Jan,Die Linke,Sachsen-Anhalt,Anhalt,71,
Kotré,Steffen,AfD,Brandenburg,,,https://twitter.com/SteffenKotre?lang=de
Kotting-Uhl,Sylvia,Bündnis 90/Die Grünen,Baden-Württemberg,Karlsruhe-Stadt,271,
Kraft,Dr. Rainer,AfD,Bayern,Augsburg-Land,253,https://twitter.com/Dr_Rainer_Kraft
Kramme,Anette,SPD,Bayern,Bayreuth,237,
Krauß,Alexander,CDU/CSU,Sachsen,Erzgebirgskreis I,164,
Krellmann,Jutta,Die Linke,Niedersachsen,Hameln-Pyrmont – Holzminden,46,
Krichbaum,Gunther,CDU/CSU,Baden-Württemberg,Pforzheim,279,
Krings,Dr. Günter,CDU/CSU,Nordrhein-Westfalen,Mönchengladbach,109,
Krischer,Oliver,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Düren,90,
Kruse,Rüdiger,CDU/CSU,Hamburg,Hamburg-Eimsbüttel,20,
Kubicki,Wolfgang,FDP,Schleswig-Holstein,Steinburg – Dithmarschen Süd,3,
Kühn (Tübingen),Christian,Bündnis 90/Die Grünen,Baden-Württemberg,Tübingen,290,
